2015-06-08;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-08;"SEM SELO";INDIVIDUAL;;;;Oeste;LAPA;"BARRA FUNDA"
2015-06-08;"SEM SELO";COLETIVO;;;1;Centro;SE;REPUBLICA
2015-06-08;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-08;"SEM SELO";COLETIVO;;;3;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-08;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Oeste;PINHEIROS;PINHEIROS
2015-06-08;"SEM SELO";COLETIVO;;;2;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-09;"SEM SELO";COLETIVO;;;4;Oeste;BUTANTA;"RAPOSO TAVARES"
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";COLETIVO;;;6;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";COLETIVO;;;;Centro;SE;REPUBLICA
2015-06-09;"SEM SELO";INDIVIDUAL;;;;Centro;SE;CONSOLACAO
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;Parda;Masculino;4;Oeste;BUTANTA;"RAPOSO TAVARES"
2015-06-09;"SEM SELO";COLETIVO;;;;Centro;SE;SE
2015-06-09;"SEM SELO";COLETIVO;Branca;Masculino;3;Oeste;LAPA;PERDIZES
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Masculino;5;Oeste;PINHEIROS;"ITAIM BIBI"
2015-06-09;"SEM SELO";INDIVIDUAL;;;;Centro;SE;SE
2015-06-09;"SEM SELO";COLETIVO;;;4;Oeste;LAPA;PERDIZES
2015-06-09;"SEM SELO";COLETIVO;;;3;"Sul 2";"SANTO AMARO";"SANTO AMARO"
2015-06-09;"SEM SELO";COLETIVO;;;6;Centro;SE;"BELA VISTA"
2015-06-09;"SEM SELO";INDIVIDUAL;Preta;Feminino;3;"Leste 1";SAPOPEMBA;SAPOPEMBA
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Feminino;2;"Sul 2";"SANTO AMARO";"SANTO AMARO"
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Feminino;4;Oeste;LAPA;PERDIZES
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Masculino;4;Oeste;PINHEIROS;"ITAIM BIBI"
2015-06-09;"SEM SELO";INDIVIDUAL;Preta;Masculino;4;"Sul 1";JABAQUARA;JABAQUARA
2015-06-09;"SEM SELO";INDIVIDUAL;Parda;Feminino;2;"Leste 2";ITAQUERA;ITAQUERA
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Feminino;6;Centro;SE;"BELA VISTA"
2015-06-09;"SEM SELO";COLETIVO;;;2;Oeste;LAPA;PERDIZES
2015-06-09;"SEM SELO";INDIVIDUAL;;;;"Norte 2";JACANA-TREMEMBE;TREMEMBE
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Feminino;2;Oeste;PINHEIROS;PINHEIROS
2015-06-09;"SEM SELO";INDIVIDUAL;Preta;;;"Norte 2";"VILA MARIA-VILA GUILHERME";"VILA MEDEIROS"
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Masculino;6;"Leste 2";"SAO MATEUS";"SAO MATEUS"
2015-06-09;"SEM SELO";COLETIVO;;;6;Centro;SE;SE
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;3;"Sul 1";"VILA MARIANA";SAUDE
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Masculino;1;"Norte 1";"CASA VERDE-CACHOEIRINHA";LIMAO
2015-06-09;"SEM SELO";COLETIVO;;;1;"Norte 1";"CASA VERDE-CACHOEIRINHA";LIMAO
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Oeste;PINHEIROS;"ALTO DE PINHEIROS"
2015-06-09;"SEM SELO";COLETIVO;;;1;Oeste;PINHEIROS;"ALTO DE PINHEIROS"
2015-06-09;"SEM SELO";COLETIVO;;;2;Oeste;PINHEIROS;"ALTO DE PINHEIROS"
2015-06-09;"SEM SELO";COLETIVO;;;1;Centro;SE;CONSOLACAO
2015-06-09;"SEM SELO";INDIVIDUAL;Preta;Masculino;5;Oeste;LAPA;LAPA
2015-06-09;"SEM SELO";COLETIVO;;;5;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-09;"SEM SELO";COLETIVO;;;9;"Norte 2";"VILA MARIA-VILA GUILHERME";"VILA MARIA"
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;Oeste;LAPA;LAPA
2015-06-09;"SEM SELO";COLETIVO;;;9;;;
2015-06-09;"SEM SELO";COLETIVO;;;5;Oeste;LAPA;PERDIZES
2015-06-09;"SEM SELO";COLETIVO;;;;Oeste;PINHEIROS;PINHEIROS
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;;;
2015-06-09;"SEM SELO";INDIVIDUAL;Branca;Masculino;6;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-09;"SEM SELO";INDIVIDUAL;Preta;Feminino;3;;;
2015-06-09;"SEM SELO";INDIVIDUAL;;Masculino;2;"Sul 1";JABAQUARA;JABAQUARA
2015-06-10;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-10;"SEM SELO";INDIVIDUAL;Branca;Feminino;2;Centro;SE;SE
2015-06-10;"SEM SELO";COLETIVO;;;4;Centro;SE;"SANTA CECILIA"
2015-06-10;"SEM SELO";INDIVIDUAL;;;1;Centro;SE;"SANTA CECILIA"
2015-06-10;"SEM SELO";COLETIVO;;;7;Oeste;LAPA;"BARRA FUNDA"
2015-06-10;"SEM SELO";COLETIVO;;;;Centro;SE;SE
2015-06-10;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-10;"SEM SELO";INDIVIDUAL;Branca;Feminino;4;Oeste;BUTANTA;MORUMBI
2015-06-10;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Oeste;PINHEIROS;PINHEIROS
2015-06-10;"SEM SELO";COLETIVO;;;1;Oeste;PINHEIROS;PINHEIROS
2015-06-10;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-10;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-10;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-11;"SEM SELO";INDIVIDUAL;Branca;Masculino;0;Oeste;LAPA;JAGUARA
2015-06-11;"COM SELO";INDIVIDUAL;;Feminino;1;;;
2015-06-11;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-11;"SEM SELO";COLETIVO;;;1;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-11;"SEM SELO";COLETIVO;;;4;"Sul 1";"VILA MARIANA";MOEMA
2015-06-11;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-11;"SEM SELO";INDIVIDUAL;Branca;Feminino;4;"Sul 2";"SANTO AMARO";"SANTO AMARO"
2015-06-11;"SEM SELO";COLETIVO;Branca;Masculino;3;Centro;SE;"BELA VISTA"
2015-06-11;"SEM SELO";COLETIVO;Indígena;;;"Sul 2";"CAPELA DO SOCORRO";GRAJAU
2015-06-11;"SEM SELO";COLETIVO;;;;Oeste;PINHEIROS;PINHEIROS
2015-06-11;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-11;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-11;"SEM SELO";INDIVIDUAL;;Masculino;;Oeste;PINHEIROS;PINHEIROS
2015-06-11;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Oeste;PINHEIROS;"ALTO DE PINHEIROS"
2015-06-11;"SEM SELO";COLETIVO;;;2;Oeste;BUTANTA;BUTANTA
2015-06-11;"SEM SELO";COLETIVO;;;5;"Sul 1";"VILA MARIANA";"VILA MARIANA"
2015-06-11;"SEM SELO";INDIVIDUAL;;;1;Oeste;PINHEIROS;"ALTO DE PINHEIROS"
2015-06-11;"SEM SELO";INDIVIDUAL;Branca;Feminino;6;;;
2015-06-11;"SEM SELO";INDIVIDUAL;Branca;Feminino;4;Centro;SE;SE
2015-06-12;"SEM SELO";COLETIVO;;;1;"Sul 1";"VILA MARIANA";SAUDE
2015-06-12;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-12;"SEM SELO";COLETIVO;;;;;;
2015-06-12;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-12;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-12;"SEM SELO";COLETIVO;;;8;"Sul 1";"VILA MARIANA";MOEMA
2015-06-12;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-12;"SEM SELO";COLETIVO;;;4;;;
2015-06-12;"SEM SELO";INDIVIDUAL;Branca;Masculino;2;Centro;SE;REPUBLICA
2015-06-12;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-12;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-12;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-12;"SEM SELO";INDIVIDUAL;Branca;Masculino;5;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-12;"COM SELO";COLETIVO;;;3;"Leste 2";"CIDADE TIRADENTES";"CID TIRADENTES"
2015-06-12;"SEM SELO";COLETIVO;;;1;Oeste;PINHEIROS;PINHEIROS
2015-06-12;"SEM SELO";COLETIVO;;;8;"Sul 2";"CAMPO LIMPO";"VILA ANDRADE"
2015-06-12;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;"Sul 1";"VILA MARIANA";SAUDE
2015-06-12;"SEM SELO";COLETIVO;Branca;Feminino;1;"Leste 2";"ERMELINO MATARAZZO";"PONTE RASA"
2015-06-12;"SEM SELO";COLETIVO;;;3;"Norte 1";"CASA VERDE-CACHOEIRINHA";CACHOEIRINHA
2015-06-12;"SEM SELO";COLETIVO;;;3;Oeste;PINHEIROS;PINHEIROS
2015-06-12;"SEM SELO";COLETIVO;;;0;"Sul 2";"M\'BOI MIRIM";"JD SAO LUIS"
2015-06-13;"SEM SELO";INDIVIDUAL;Branca;Feminino;2;"Leste 2";ITAQUERA;ITAQUERA
2015-06-13;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-13;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-13;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-13;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-14;"SEM SELO";COLETIVO;;;;;;
2015-06-14;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-14;"SEM SELO";COLETIVO;;;;Centro;SE;REPUBLICA
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;4;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-15;"SEM SELO";INDIVIDUAL;;;7;Oeste;LAPA;PERDIZES
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;Oeste;LAPA;LAPA
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Feminino;2;"Norte 2";"VILA MARIA-VILA GUILHERME";"VILA MEDEIROS"
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;"Sul 1";"VILA MARIANA";"VILA MARIANA"
2015-06-15;"SEM SELO";INDIVIDUAL;Parda;Masculino;4;"Sul 1";JABAQUARA;JABAQUARA
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;2;Oeste;PINHEIROS;PINHEIROS
2015-06-15;"SEM SELO";COLETIVO;;;7;"Leste 1";SAPOPEMBA;SAPOPEMBA
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;4;Centro;SE;CONSOLACAO
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;5;Oeste;LAPA;PERDIZES
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;0;"Sul 1";"VILA MARIANA";MOEMA
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;5;Centro;SE;"SANTA CECILIA"
